Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
1/4/2010;;;;;
1/5/2010;0.2;0.2;0.2;0.2;0.2
1/6/2010;0.2;0.2;0.2;0.2;0.2
1/7/2010;0.2;0.2;0.2;0.2;0.2
1/8/2010;0.2;0.2;0.2;0.2;0.2
1/11/2010;0.2;0.2;0.2;0.2;0.2
1/12/2010;0.2;0.2;0.2;0.2;0.2
1/13/2010;0.2;0.2;0.2;0.2;0.2
1/14/2010;0.2;0.2;0.2;0.2;0.2
1/15/2010;0.2;0.2;0.2;0.2;0.2
1/18/2010;0.2;0.2;0.2;0.2;0.2
1/19/2010;0.2;0.2;0.2;0.2;0.2
1/20/2010;0.2;0.2;0.2;0.2;0.2
1/21/2010;0.2;0.2;0.2;0.2;0.2
1/22/2010;0.2;0.2;0.2;0.2;0.2
1/26/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
1/27/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
1/28/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
1/29/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
2/1/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
2/2/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
2/3/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
2/4/2010;0.222222222222222;0.222222222222222;0.222222222222222;0.222222222222222;0.111111111111111
2/5/2010;0.25;0.25;0.25;0.125;0.125
2/8/2010;0.25;0.25;0.25;0.125;0.125
2/9/2010;0.25;0.25;0.25;0.125;0.125
2/10/2010;0.25;0.25;0.25;0.125;0.125
2/11/2010;0.25;0.25;0.25;0.125;0.125
2/12/2010;0.25;0.25;0.25;0.125;0.125
2/17/2010;0.25;0.25;0.25;0.125;0.125
2/18/2010;0.25;0.25;0.25;0.125;0.125
2/19/2010;0.25;0.25;0.25;0.125;0.125
2/22/2010;0.25;0.25;0.25;0.125;0.125
2/23/2010;0.25;0.25;0.25;0.125;0.125
2/24/2010;0.25;0.25;0.25;0.125;0.125
2/25/2010;0.25;0.25;0.25;0.125;0.125
2/26/2010;0.25;0.25;0.25;0.125;0.125
3/1/2010;0.25;0.25;0.25;0.125;0.125
3/2/2010;0.25;0.25;0.25;0.125;0.125
3/3/2010;0.25;0.25;0.25;0.125;0.125
3/4/2010;0.25;0.25;0.25;0.125;0.125
3/5/2010;0.25;0.25;0.25;0.125;0.125
3/8/2010;0.25;0.25;0.25;0.125;0.125
3/9/2010;0.25;0.25;0.25;0.125;0.125
3/10/2010;0.25;0.25;0.25;0.125;0.125
3/11/2010;0.25;0.25;0.25;0.125;0.125
3/12/2010;0.25;0.25;0.25;0.125;0.125
3/15/2010;0.25;0.25;0.25;0.125;0.125
3/16/2010;0.25;0.25;0.25;0.125;0.125
3/17/2010;0.25;0.25;0.25;0.125;0.125
3/18/2010;0.25;0.25;0.25;0.125;0.125
3/19/2010;0.25;0.25;0.25;0.125;0.125
3/22/2010;0.25;0.25;0.25;0.125;0.125
3/23/2010;0.25;0.25;0.25;0.125;0.125
3/24/2010;0.25;0.25;0.25;0.125;0.125
3/25/2010;0.25;0.25;0.25;0.125;0.125
3/26/2010;0.25;0.25;0.25;0.125;0.125
3/29/2010;0.25;0.25;0.25;0.125;0.125
3/30/2010;0.25;0.25;0.25;0.125;0.125
3/31/2010;0.25;0.25;0.25;0.125;0.125
4/1/2010;0.25;0.25;0.25;0.125;0.125
4/5/2010;0.25;0.25;0.25;0.125;0.125
4/6/2010;0.25;0.25;0.25;0.125;0.125
4/7/2010;0.25;0.25;0.25;0.125;0.125
4/8/2010;0.25;0.25;0.25;0.125;0.125
4/9/2010;0.25;0.25;0.25;0.125;0.125
4/12/2010;0.25;0.25;0.25;0.125;0.125
4/13/2010;0.25;0.25;0.25;0.125;0.125
4/14/2010;0.25;0.25;0.25;0.125;0.125
4/15/2010;0.25;0.25;0.25;0.125;0.125
4/16/2010;0.25;0.25;0.25;0.125;0.125
4/19/2010;0.25;0.25;0.25;0.125;0.125
4/20/2010;0.25;0.25;0.25;0.125;0.125
4/22/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.111111111111111;0.111111111111111
4/23/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.111111111111111;0.111111111111111
4/26/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.111111111111111;0.111111111111111
4/27/2010;0.25;0.375;0.25;0.125;0
4/28/2010;0.25;0.375;0.25;0.125;0
4/29/2010;0.25;0.375;0.25;0.125;0
4/30/2010;0.25;0.375;0.25;0.125;0
5/3/2010;0.25;0.375;0.25;0.125;0
5/4/2010;0.25;0.375;0.25;0.125;0
5/5/2010;0.25;0.375;0.25;0.125;0
5/6/2010;0.25;0.375;0.25;0.125;0
5/7/2010;0.25;0.375;0.25;0.125;0
5/10/2010;0.25;0.375;0.25;0.125;0
5/11/2010;0.25;0.375;0.25;0.125;0
5/12/2010;0.25;0.375;0.25;0.125;0
5/13/2010;0.25;0.375;0.25;0.125;0
5/14/2010;0.25;0.375;0.25;0.125;0
5/17/2010;0.25;0.375;0.25;0.125;0
5/18/2010;0.285714285714286;0.285714285714286;0.285714285714286;0.142857142857143;0
5/19/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/20/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/21/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/24/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/25/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/26/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/27/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/28/2010;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0
5/31/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/1/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/2/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/4/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/7/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/8/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/9/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/10/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/11/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
6/14/2010;0.125;0.375;0.25;0.25;0
6/15/2010;0.125;0.375;0.25;0.25;0
6/16/2010;0.125;0.375;0.25;0.25;0
6/17/2010;0.125;0.375;0.25;0.25;0
6/18/2010;0.125;0.375;0.25;0.25;0
6/21/2010;0.125;0.375;0.25;0.25;0
6/22/2010;0.125;0.375;0.25;0.25;0
6/23/2010;0.125;0.375;0.25;0.25;0
6/24/2010;0.125;0.375;0.25;0.25;0
6/25/2010;0.125;0.375;0.25;0.25;0
6/28/2010;0.125;0.375;0.25;0.25;0
6/29/2010;0.125;0.375;0.25;0.25;0
6/30/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
7/1/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
7/2/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
7/5/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
7/6/2010;0.142857142857143;0.285714285714286;0.285714285714286;0.285714285714286;0
7/7/2010;0.25;0.25;0.25;0.25;0
7/8/2010;0.25;0.25;0.25;0.25;0
7/12/2010;0.25;0.25;0.25;0.25;0
7/13/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/14/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/15/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/16/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/19/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/20/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/21/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/22/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/23/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/26/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/27/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/28/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/29/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
7/30/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/2/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/3/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/4/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/5/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/6/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/9/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/10/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/11/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/12/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/13/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/16/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/17/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/18/2010;0.222222222222222;0.333333333333333;0.222222222222222;0.222222222222222;0
8/19/2010;0.25;0.375;0.25;0.125;0
8/20/2010;0.25;0.375;0.25;0.125;0
8/23/2010;0.25;0.375;0.25;0.125;0
8/24/2010;0.25;0.375;0.25;0.125;0
8/25/2010;0.25;0.375;0.25;0.125;0
8/26/2010;0.25;0.375;0.25;0.125;0
8/27/2010;0.25;0.375;0.25;0.125;0
8/30/2010;0.25;0.375;0.25;0.125;0
8/31/2010;0.25;0.375;0.25;0.125;0
9/1/2010;0.25;0.375;0.25;0.125;0
9/2/2010;0.25;0.375;0.25;0.125;0
9/3/2010;0.25;0.375;0.25;0.125;0
9/6/2010;0.25;0.375;0.25;0.125;0
9/8/2010;0.25;0.375;0.25;0.125;0
9/9/2010;0.25;0.375;0.25;0.125;0
9/10/2010;0.25;0.375;0.25;0.125;0
9/13/2010;0.25;0.375;0.25;0.125;0
9/14/2010;0.25;0.375;0.25;0.125;0
9/15/2010;0.25;0.375;0.25;0.125;0
9/16/2010;0.25;0.375;0.25;0.125;0
9/17/2010;0.25;0.375;0.25;0.125;0
9/20/2010;0.25;0.375;0.25;0.125;0
9/21/2010;0.25;0.375;0.25;0.125;0
9/22/2010;0.25;0.375;0.25;0.125;0
9/23/2010;0.25;0.375;0.25;0.125;0
9/24/2010;0.25;0.375;0.25;0.125;0
9/27/2010;0.25;0.375;0.25;0.125;0
9/28/2010;0.25;0.375;0.25;0.125;0
9/29/2010;0.25;0.375;0.25;0.125;0
9/30/2010;0.25;0.375;0.25;0.125;0
10/1/2010;0.25;0.375;0.25;0.125;0
10/4/2010;0.25;0.375;0.25;0.125;0
10/5/2010;0.25;0.375;0.25;0.125;0
10/6/2010;0.25;0.375;0.25;0.125;0
10/7/2010;0.25;0.375;0.25;0.125;0
10/8/2010;0.25;0.375;0.25;0.125;0
10/11/2010;0.25;0.375;0.25;0.125;0
10/13/2010;0.25;0.375;0.25;0.125;0
10/14/2010;0.25;0.375;0.25;0.125;0
10/15/2010;0.25;0.375;0.25;0.125;0
10/18/2010;0.25;0.375;0.25;0.125;0
