Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
1/4/2010;;;;;
1/5/2010;0.65;-0.70;-0.41;0.00;1.40
1/6/2010;-0.22;-0.95;0.02;1.35;3.37
1/7/2010;-1.24;1.43;-0.28;0.42;4.04
1/8/2010;-2.75;0.18;-0.05;-0.12;4.59
1/11/2010;-3.63;-1.23;-0.48;-0.45;5.03
1/12/2010;-4.56;-4.24;0.79;-1.72;5.25
1/13/2010;-4.25;-5.41;2.41;-1.89;6.69
1/14/2010;-5.62;-4.07;4.88;-3.62;-0.28
1/15/2010;-7.31;-3.94;2.15;-3.40;-0.80
1/18/2010;0.88;-2.91;1.98;-1.16;0.42
1/19/2010;0.62;-4.47;3.08;-1.63;1.60
1/20/2010;-2.02;-7.30;0.25;-4.18;-0.18
1/21/2010;-3.86;0.60;0.06;-7.34;-3.74
1/22/2010;-2.71;5.08;0.93;1.23;-5.99
1/26/2010;-2.47;4.37;-1.02;-1.22;-8.62
1/27/2010;-3.89;3.06;-1.31;-0.60;-1.50
1/28/2010;-0.91;3.40;-0.74;0.87;-1.05
1/29/2010;-2.97;2.39;-2.46;-0.41;-1.07
2/1/2010;-1.05;1.93;-2.40;-0.03;2.39
2/2/2010;0.28;3.21;-0.02;-0.61;2.53
2/3/2010;-0.15;6.45;1.28;-0.79;2.21
2/4/2010;-4.00;-3.91;-2.19;-5.90;-3.01
2/5/2010;-6.55;-7.71;-5.85;-8.31;-4.10
2/8/2010;-0.29;-2.99;-6.57;0.70;-3.00
2/9/2010;4.18;-1.34;0.40;2.27;-0.62
2/10/2010;4.73;-2.25;1.36;3.51;-0.69
2/11/2010;6.49;-1.27;3.69;5.72;1.20
2/12/2010;-0.03;-2.59;2.07;7.04;0.60
2/17/2010;2.13;-3.65;7.91;1.33;4.23
2/18/2010;2.45;-0.07;0.00;2.61;6.28
2/19/2010;0.87;-0.97;0.00;1.64;-0.22
2/22/2010;-0.20;-0.75;-0.72;2.51;-1.79
2/23/2010;-1.87;-0.75;-2.24;1.18;-3.14
2/24/2010;-2.97;-0.75;-2.24;0.45;-2.14
2/25/2010;-3.00;-2.92;-2.01;1.75;-1.42
2/26/2010;-0.48;-1.79;-2.81;2.42;-1.64
3/1/2010;-0.28;1.39;-2.56;3.34;-1.19
3/2/2010;1.33;2.09;-1.09;3.88;0.69
3/3/2010;1.33;0.73;-0.81;3.97;0.36
3/4/2010;1.20;2.03;-2.08;4.11;1.81
