Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
1/4/2010;;;;;
1/5/2010;0.65;-0.70;-0.41;-0.86;1.40
1/6/2010;-0.87;-0.25;0.43;1.35;1.97
1/7/2010;-1.03;2.37;-0.30;-0.93;0.67
1/8/2010;-1.51;-1.25;0.23;-0.54;0.55
1/11/2010;-0.87;-1.41;-0.43;-0.33;0.44
1/12/2010;-0.93;-3.01;1.28;-1.28;0.22
1/13/2010;0.31;-1.17;1.62;-0.16;1.44
1/14/2010;-1.38;1.34;2.47;-1.74;-0.28
1/15/2010;-1.69;0.13;-2.73;0.23;-0.52
1/18/2010;0.88;1.04;-0.16;2.24;1.22
1/19/2010;-0.26;-1.56;1.10;-0.47;1.18
1/20/2010;-2.64;-2.84;-2.83;-2.56;-1.78
1/21/2010;-1.83;0.60;-0.19;-3.16;-3.56
1/22/2010;1.15;4.49;0.86;1.23;-2.26
1/26/2010;0.25;-0.71;-1.95;-2.45;-2.63
1/27/2010;-1.43;-1.31;-0.28;0.62;-1.50
1/28/2010;2.99;0.34;0.57;1.47;0.45
1/29/2010;-2.06;-1.00;-1.72;-1.27;-0.02
2/1/2010;1.92;-0.47;0.06;0.38;3.46
2/2/2010;1.33;1.28;2.38;-0.59;0.14
2/3/2010;-0.43;3.24;1.29;-0.17;-0.32
2/4/2010;-3.85;-3.91;-3.46;-5.11;-5.22
2/5/2010;-2.55;-3.79;-3.66;-2.41;-1.09
2/8/2010;-0.29;-2.99;-0.72;0.70;1.10
2/9/2010;4.47;1.65;0.40;1.58;2.38
2/10/2010;0.55;-0.91;0.96;1.24;-0.07
2/11/2010;1.76;0.98;2.33;2.21;1.90
2/12/2010;-0.03;-1.32;-1.62;1.32;-0.61
2/17/2010;2.16;-1.06;5.84;1.33;3.63
2/18/2010;0.32;3.59;0.00;1.28;2.05
2/19/2010;-1.58;-0.90;0.00;-0.98;-0.22
2/22/2010;-1.07;0.22;-0.72;0.87;-1.57
2/23/2010;-1.67;0.00;-1.51;-1.33;-1.35
2/24/2010;-1.11;0.00;0.00;-0.73;1.00
2/25/2010;-0.03;-2.17;0.23;1.30;0.72
2/26/2010;2.52;1.13;-0.80;0.67;-0.22
3/1/2010;0.20;3.18;0.25;0.92;0.45
3/2/2010;1.62;0.69;1.47;0.54;1.88
