Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
1/4/2010;;;;;
1/5/2010;0.05;0.05;0.05;0.05;0.05
1/6/2010;0.05;0.05;0.05;0.05;0.05
1/7/2010;0.05;0.05;0.05;0.05;0.05
1/8/2010;0.05;0.05;0.05;0.05;0.05
1/11/2010;0.05;0.05;0.05;0.05;0.05
1/12/2010;0.05;0.05;0.05;0.05;0.05
1/13/2010;0.05;0.05;0.05;0.05;0.05
1/14/2010;0.05;0.05;0.05;0.05;0.05
1/15/2010;0.05;0.05;0.05;0.05;0.05
1/18/2010;0.05;0.05;0.05;0.05;0.05
1/19/2010;0.05;0.05;0.05;0.05;0.05
1/20/2010;0.05;0.05;0.05;0.05;0.05
1/21/2010;0.05;0.05;0.05;0.05;0.05
1/22/2010;0.05;0.05;0.05;0.05;0.05
1/26/2010;0.05;0.05;0.05;0.05;0.025
1/27/2010;0.05;0.05;0.05;0.05;0.025
1/28/2010;0.05;0.05;0.05;0.05;0.025
1/29/2010;0.05;0.05;0.05;0.05;0.025
2/1/2010;0.05;0.05;0.05;0.05;0.025
2/2/2010;0.05;0.05;0.05;0.05;0.025
2/3/2010;0.05;0.05;0.05;0.05;0.025
2/4/2010;0.05;0.05;0.05;0.05;0.025
2/5/2010;0.05;0.05;0.05;0.025;0.025
2/8/2010;0.05;0.05;0.05;0.025;0.025
2/9/2010;0.05;0.05;0.05;0.025;0.025
2/10/2010;0.05;0.05;0.05;0.025;0.025
2/11/2010;0.05;0.05;0.05;0.025;0.025
2/12/2010;0.05;0.05;0.05;0.025;0.025
2/17/2010;0.05;0.05;0.05;0.025;0.025
2/18/2010;0.05;0.05;0.05;0.025;0.025
2/19/2010;0.05;0.05;0.05;0.025;0.025
2/22/2010;0.05;0.05;0.05;0.025;0.025
2/23/2010;0.05;0.05;0.05;0.025;0.025
2/24/2010;0.05;0.05;0.05;0.025;0.025
2/25/2010;0.05;0.05;0.05;0.025;0.025
2/26/2010;0.05;0.05;0.05;0.025;0.025
3/1/2010;0.05;0.05;0.05;0.025;0.025
3/2/2010;0.05;0.05;0.05;0.025;0.025
3/3/2010;0.05;0.05;0.05;0.025;0.025
3/4/2010;0.05;0.05;0.05;0.025;0.025
3/5/2010;0.05;0.05;0.05;0.025;0.025
3/8/2010;0.05;0.05;0.05;0.025;0.025
3/9/2010;0.05;0.05;0.05;0.025;0.025
3/10/2010;0.05;0.05;0.05;0.025;0.025
3/11/2010;0.05;0.05;0.05;0.025;0.025
3/12/2010;0.05;0.05;0.05;0.025;0.025
3/15/2010;0.05;0.05;0.05;0.025;0.025
3/16/2010;0.05;0.05;0.05;0.025;0.025
3/17/2010;0.05;0.05;0.05;0.025;0.025
3/18/2010;0.05;0.05;0.05;0.025;0.025
3/19/2010;0.05;0.05;0.05;0.025;0.025
3/22/2010;0.05;0.05;0.05;0.025;0.025
3/23/2010;0.05;0.05;0.05;0.025;0.025
3/24/2010;0.05;0.05;0.05;0.025;0.025
3/25/2010;0.05;0.05;0.05;0.025;0.025
3/26/2010;0.05;0.05;0.05;0.025;0.025
3/29/2010;0.05;0.05;0.05;0.025;0.025
3/30/2010;0.05;0.05;0.05;0.025;0.025
3/31/2010;0.05;0.05;0.05;0.025;0.025
4/1/2010;0.05;0.05;0.05;0.025;0.025
4/5/2010;0.05;0.05;0.05;0.025;0.025
4/6/2010;0.05;0.05;0.05;0.025;0.025
4/7/2010;0.05;0.05;0.05;0.025;0.025
4/8/2010;0.05;0.05;0.05;0.025;0.025
4/9/2010;0.05;0.05;0.05;0.025;0.025
4/12/2010;0.05;0.05;0.05;0.025;0.025
4/13/2010;0.05;0.05;0.05;0.025;0.025
4/14/2010;0.05;0.05;0.05;0.025;0.025
4/15/2010;0.05;0.05;0.05;0.025;0.025
4/16/2010;0.05;0.05;0.05;0.025;0.025
4/19/2010;0.05;0.05;0.05;0.025;0.025
4/20/2010;0.05;0.05;0.05;0.025;0.025
4/22/2010;0.05;0.075;0.05;0.025;0.025
4/23/2010;0.05;0.075;0.05;0.025;0.025
4/26/2010;0.05;0.075;0.05;0.025;0.025
4/27/2010;0.05;0.075;0.05;0.025;0
4/28/2010;0.05;0.075;0.05;0.025;0
4/29/2010;0.05;0.075;0.05;0.025;0
4/30/2010;0.05;0.075;0.05;0.025;0
5/3/2010;0.05;0.075;0.05;0.025;0
5/4/2010;0.05;0.075;0.05;0.025;0
5/5/2010;0.05;0.075;0.05;0.025;0
5/6/2010;0.05;0.075;0.05;0.025;0
5/7/2010;0.05;0.075;0.05;0.025;0
5/10/2010;0.05;0.075;0.05;0.025;0
5/11/2010;0.05;0.075;0.05;0.025;0
5/12/2010;0.05;0.075;0.05;0.025;0
5/13/2010;0.05;0.075;0.05;0.025;0
5/14/2010;0.05;0.075;0.05;0.025;0
5/17/2010;0.05;0.075;0.05;0.025;0
5/18/2010;0.05;0.05;0.05;0.025;0
5/19/2010;0.025;0.05;0.05;0.025;0
5/20/2010;0.025;0.05;0.05;0.025;0
5/21/2010;0.025;0.05;0.05;0.025;0
5/24/2010;0.025;0.05;0.05;0.025;0
5/25/2010;0.025;0.05;0.05;0.025;0
5/26/2010;0.025;0.05;0.05;0.025;0
5/27/2010;0.025;0.05;0.05;0.025;0
5/28/2010;0.025;0.05;0.05;0.025;0
5/31/2010;0.025;0.05;0.05;0.05;0
6/1/2010;0.025;0.05;0.05;0.05;0
6/2/2010;0.025;0.05;0.05;0.05;0
6/4/2010;0.025;0.05;0.05;0.05;0
6/7/2010;0.025;0.05;0.05;0.05;0
6/8/2010;0.025;0.05;0.05;0.05;0
6/9/2010;0.025;0.05;0.05;0.05;0
6/10/2010;0.025;0.05;0.05;0.05;0
6/11/2010;0.025;0.05;0.05;0.05;0
6/14/2010;0.025;0.075;0.05;0.05;0
6/15/2010;0.025;0.075;0.05;0.05;0
6/16/2010;0.025;0.075;0.05;0.05;0
6/17/2010;0.025;0.075;0.05;0.05;0
6/18/2010;0.025;0.075;0.05;0.05;0
6/21/2010;0.025;0.075;0.05;0.05;0
6/22/2010;0.025;0.075;0.05;0.05;0
6/23/2010;0.025;0.075;0.05;0.05;0
6/24/2010;0.025;0.075;0.05;0.05;0
6/25/2010;0.025;0.075;0.05;0.05;0
6/28/2010;0.025;0.075;0.05;0.05;0
6/29/2010;0.025;0.075;0.05;0.05;0
6/30/2010;0.025;0.05;0.05;0.05;0
