Date;ITUB4 BZ Equity;CIEL3 BZ Equity;ABEV3 BZ Equity;PETR4 BZ Equity;VALE5 BZ Equity
1/4/2010;19.347;5.611;5.344;30.673;29.806
1/5/2010;19.473;5.572;5.322;30.41;30.223
1/6/2010;19.304;5.558;5.345;30.821;30.819
1/7/2010;19.106;5.69;5.329;30.533;31.025
1/8/2010;18.817;5.619;5.341;30.369;31.196
1/11/2010;18.653;5.54;5.318;30.27;31.333
1/12/2010;18.479;5.373;5.386;29.884;31.401
1/13/2010;18.537;5.31;5.473;29.835;31.853
1/14/2010;18.282;5.381;5.608;29.317;31.764
1/15/2010;17.973;5.388;5.455;29.383;31.6
1/18/2010;18.132;5.444;5.446;30.04;31.984
1/19/2010;18.084;5.359;5.506;29.9;32.36
1/20/2010;17.606;5.207;5.35;29.136;31.785
1/21/2010;17.283;5.238;5.34;28.215;30.655
1/22/2010;17.481;5.473;5.386;28.561;29.963
1/26/2010;17.524;5.434;5.281;27.862;29.176
1/27/2010;17.274;5.363;5.266;28.035;28.737
1/28/2010;17.79;5.381;5.296;28.446;28.867
1/29/2010;17.423;5.327;5.205;28.084;28.861
2/1/2010;17.757;5.302;5.208;28.191;29.86
2/2/2010;17.993;5.37;5.332;28.026;29.902
2/3/2010;17.916;5.544;5.401;27.977;29.806
2/4/2010;17.226;5.327;5.214;26.547;28.251
2/5/2010;16.787;5.125;5.023;25.906;27.943
2/8/2010;16.739;4.972;4.987;26.087;28.251
2/9/2010;17.487;5.054;5.007;26.498;28.922
2/10/2010;17.583;5.008;5.055;26.826;28.902
2/11/2010;17.892;5.057;5.173;27.418;29.45
2/12/2010;17.887;4.99;5.089;27.78;29.271
2/17/2010;18.273;4.937;5.386;28.15;30.333
2/18/2010;18.331;5.114;5.386;28.511;30.956
2/19/2010;18.042;5.068;5.386;28.232;30.888
2/22/2010;17.849;5.079;5.347;28.478;30.402
2/23/2010;17.551;5.079;5.266;28.1;29.991
2/24/2010;17.357;5.079;5.266;27.895;30.292
2/25/2010;17.352;4.969;5.278;28.257;30.511
2/26/2010;17.79;5.025;5.236;28.446;30.443
3/1/2010;17.825;5.185;5.249;28.709;30.58
3/2/2010;18.113;5.221;5.326;28.865;31.155
3/3/2010;18.113;5.15;5.341;28.889;31.052
3/4/2010;18.089;5.217;5.273;28.931;31.504
3/5/2010;18.186;5.292;5.178;29.432;32.429
3/8/2010;18.176;5.285;5.163;29.341;32.333
3/9/2010;18.401;5.285;5.131;29.999;32.648
3/10/2010;18.479;5.31;5.145;30.41;32.23
3/11/2010;18.528;5.352;5.1;30.451;31.97
3/12/2010;18.23;5.292;5.097;30.459;31.785
3/15/2010;18.337;5.229;5.052;30.221;31.984
3/16/2010;18.454;5.449;5.1;30.583;32.757
3/17/2010;18.284;5.438;5.145;30.533;32.634
3/18/2010;18.137;5.851;5.145;30.426;32.422
3/19/2010;18.064;6.149;5.072;29.777;32.052
3/22/2010;18.332;6.252;5.049;29.785;32.408
3/23/2010;18.181;6.223;5.036;29.44;33.251
3/24/2010;17.796;6.237;4.978;29.662;33.216
3/25/2010;18.011;6.109;5.005;28.931;32.99
3/26/2010;18.332;6.075;5.054;28.355;33.251
3/29/2010;18.606;5.98;5.021;28.684;33.874
3/30/2010;18.796;6.094;5.037;28.602;33.935
3/31/2010;19.015;6.167;4.954;29.087;33.935
4/1/2010;19.118;6.241;4.939;29.383;34.209
4/5/2010;19.24;6.149;4.997;29.596;34.1
4/6/2010;18.997;5.965;5.02;29.654;34.223
4/7/2010;18.826;5.762;5.011;29.424;34.381
4/8/2010;19.499;5.928;5.005;29.432;34.894
4/9/2010;19.557;5.799;5.091;28.955;34.956
4/12/2010;19.289;5.762;5.082;28.265;34.757
4/13/2010;19.231;5.947;5.132;28.1;34.894
4/14/2010;19.338;5.947;5.2;28.15;35.161
4/15/2010;19.309;5.924;5.255;27.615;35.356
4/16/2010;18.704;5.947;5.197;27.081;34.921
4/19/2010;18.489;5.976;5.167;27.574;34.686
4/20/2010;18.655;6.028;5.197;28.191;34.12
4/22/2010;18.484;6.318;5.219;27.829;34.313
4/23/2010;18.509;6.186;5.318;28.155;34.016
4/26/2010;18.27;6.134;5.318;27.583;33.837
4/27/2010;17.66;6.149;5.164;26.581;32.166
4/28/2010;18.109;6.167;5.048;26.822;31.972
4/29/2010;18.436;6.223;5.135;27.343;33.043
4/30/2010;18.387;6.215;5.15;27.161;32.131
5/3/2010;18.442;6.26;5.167;26.085;31.316
5/4/2010;17.954;6.094;5.212;25.207;29.797
5/5/2010;17.895;6.164;5.167;25.016;30.522
5/6/2010;17.68;6.046;5.191;24.685;29.811
5/7/2010;17.632;6.112;5.227;24.635;29.797
5/10/2010;18.388;6.208;5.282;24.967;31.178
5/11/2010;18.134;6.326;5.328;24.528;30.66
5/12/2010;18.1;6.499;5.392;24.76;30.66
5/13/2010;17.832;6.554;5.385;24.842;30.177
5/14/2010;17.539;6.374;5.33;24.917;29.272
5/17/2010;17.515;6.628;5.395;24.718;28.734
5/18/2010;17.071;5.707;5.376;24.197;27.622
5/19/2010;16.197;5.615;5.288;23.642;26.931
5/20/2010;16.027;5.49;5.134;22.714;25.895
5/21/2010;16.344;5.67;5.285;22.839;27.822
5/24/2010;16.061;5.634;5.288;22.647;27.484
5/25/2010;15.666;5.497;5.299;22.146;27.76
5/26/2010;16.192;5.483;5.17;22.563;27.352
5/27/2010;16.485;5.689;5.298;23.197;29.072
5/28/2010;16.392;5.659;5.273;23.522;28.968
5/31/2010;16.929;5.67;5.271;24.69;29.611
6/1/2010;16.593;5.803;5.258;23.898;29.003
6/2/2010;17.062;5.818;5.309;24.273;29.624
6/4/2010;16.715;5.689;5.319;24.398;28.243
6/7/2010;16.208;5.854;5.393;24.624;27.504
6/8/2010;16.501;5.84;5.384;24.74;27.801
6/9/2010;16.349;5.773;5.394;24.649;27.912
6/10/2010;16.789;6.028;5.449;24.941;28.464
6/11/2010;17.037;6.02;5.44;24.707;28.768
6/14/2010;16.764;6.186;5.47;24.232;28.796
6/15/2010;17.174;6.226;5.531;24.19;29.141
6/16/2010;17.228;6.226;5.589;24.732;28.865
6/17/2010;17.15;6.223;5.607;24.624;28.464
6/18/2010;17.228;6.208;5.604;24.599;28.084
6/21/2010;17.301;6.053;5.714;24.523;28.899
6/22/2010;17.228;5.994;5.729;24.282;28.706
6/23/2010;17.311;5.965;5.772;23.773;29.065
6/24/2010;16.764;5.873;5.622;22.93;28.485
6/25/2010;16.886;6.039;5.675;23.281;28.948
6/28/2010;16.842;5.917;5.744;22.872;28.319
6/29/2010;16.149;5.843;5.668;22.38;26.952
6/30/2010;15.861;5.597;5.468;22.405;26.179
7/1/2010;16.595;5.527;5.44;22.063;26.365
7/2/2010;16.751;5.483;5.47;22.33;26.241
7/5/2010;16.346;5.313;5.41;22.138;25.964
7/6/2010;16.736;5.648;5.562;22.563;26.206
7/7/2010;17.718;5.836;5.592;22.855;26.897
7/8/2010;18.113;5.888;5.575;23.005;26.938
7/12/2010;18.176;5.854;5.522;22.713;26.469
7/13/2010;18.235;6.075;5.543;22.772;26.621
7/14/2010;18.103;6.009;5.559;22.772;26.448
7/15/2010;18.064;6.075;5.641;22.613;26.192
7/16/2010;17.61;5.935;5.671;22.388;25.909
7/19/2010;18.015;5.917;5.714;22.48;26.586
7/20/2010;18.167;5.766;5.677;23.064;28.243
7/21/2010;18.108;5.704;5.662;22.939;28.416
7/22/2010;18.601;5.762;5.744;23.339;28.913
7/23/2010;18.797;5.707;5.709;23.181;29.148
7/26/2010;18.84;5.67;5.691;23.272;29.072
7/27/2010;18.797;5.637;5.703;23.339;28.968
7/28/2010;19.236;5.652;5.786;23.189;29.348
7/29/2010;19.251;5.674;5.768;23.139;29.362
7/30/2010;19.329;5.818;5.786;23.231;29.466
8/2/2010;19.393;5.799;5.765;23.894;30.453
8/3/2010;18.802;5.899;5.729;24.432;30.425
8/4/2010;18.48;5.884;5.714;24.65;30.343
8/5/2010;18.514;5.818;5.683;24.726;30.453
8/6/2010;18.729;5.773;5.565;24.44;30.439
8/9/2010;18.802;5.818;5.57;24.222;30.488
8/10/2010;18.714;5.854;5.562;23.869;30.108
8/11/2010;18.418;5.829;5.513;23.105;29.265
8/12/2010;18.506;5.759;5.545;23.13;29.5
8/13/2010;18.536;5.762;5.531;23.239;29.617
8/16/2010;18.624;5.818;5.649;23.197;29.956
