Date;ALLOCATION RETURN;PLAIN RETURN;ALL RET;PL RET
1/4/2010;;;;
1/5/2010;;;;
1/6/2010;0.53%;0.53%;1000000;1000000
1/7/2010;0.16%;0.16%;1001567.81337616;1001567.81337616
1/8/2010;-0.50%;-0.50%;996517.529075184;996517.529075184
1/11/2010;-0.52%;-0.52%;991345.685095897;991345.685095897
1/12/2010;-0.75%;-0.75%;983956.677283817;983956.677283817
1/13/2010;0.41%;0.41%;987955.706819392;987955.706819392
1/14/2010;0.08%;0.08%;988770.775783181;988770.775783181
1/15/2010;-0.92%;-0.92%;979714.569856359;979714.569856359
1/18/2010;1.04%;1.04%;989923.582539129;989923.582539129
1/19/2010;0.00%;0.00%;989894.263504818;989894.263504818
1/20/2010;-2.53%;-2.53%;964860.011060125;964860.011060125
1/21/2010;-1.63%;-1.63%;949147.575925274;949147.575925274
1/22/2010;1.09%;1.09%;959516.862108347;959516.862108347
1/26/2010;-1.50%;-1.50%;945143.160394712;945143.160394712
1/27/2010;-0.70%;-0.78%;938529.986360357;937769.183365475
1/28/2010;1.24%;1.16%;950177.534687495;948667.705751213
1/29/2010;-1.35%;-1.22%;937365.45747005;937135.440730006
2/1/2010;0.80%;1.07%;944899.886368;947158.580749733
2/2/2010;1.00%;0.91%;954301.799031171;955773.753009296
2/3/2010;0.84%;0.72%;962298.82849329;962675.330997322
2/4/2010;-4.21%;-4.31%;921780.389593216;921172.123351863
2/5/2010;-2.88%;-2.70%;895226.171187239;896284.810547519
2/8/2010;-0.77%;-0.44%;888316.04857623;892364.315823959
2/9/2010;2.12%;2.09%;907179.888353401;911049.566530873
2/10/2010;0.30%;0.35%;909860.164573901;914267.657289705
2/11/2010;1.78%;1.83%;926059.257315836;931040.83565763
2/12/2010;-0.66%;-0.45%;919992.614740076;926824.771942149
2/17/2010;2.35%;2.38%;941640.072304817;948868.451186759
2/18/2010;1.39%;1.45%;954754.113637734;962605.91382219
2/19/2010;-0.77%;-0.73%;947414.025997259;955532.123058712
2/22/2010;-0.48%;-0.46%;942847.92851328;951177.089557783
2/23/2010;-1.13%;-1.17%;932184.219338818;940022.341690589
2/24/2010;-0.24%;-0.17%;929927.63067523;938459.548784463
2/25/2010;-0.24%;0.01%;927704.250061979;938560.857791002
2/26/2010;0.77%;0.66%;934843.934429703;944758.037033146
3/1/2010;1.08%;1.00%;944931.813255254;954212.572029312
3/2/2010;1.25%;1.24%;956717.035052948;966046.072081525
3/3/2010;-0.30%;-0.27%;953842.135832383;963484.668832901
3/4/2010;0.17%;0.30%;955501.351329912;966368.005423215
3/5/2010;0.63%;0.97%;961487.890128494;975722.555815265
3/8/2010;-0.19%;-0.22%;959614.04895707;973610.763908559
3/9/2010;0.56%;0.77%;964955.543120631;981078.229886418
3/10/2010;0.30%;0.25%;967885.725453321;983549.56676563
3/11/2010;-0.04%;-0.10%;967512.005096726;982584.926898944
3/12/2010;-0.77%;-0.67%;960099.716232977;976019.938876407
3/15/2010;-0.39%;-0.33%;956345.600924529;972815.273774127
3/16/2010;1.90%;1.88%;974522.900905889;991123.957555699
3/17/2010;-0.13%;-0.16%;973279.849811617;989578.378563381
3/18/2010;1.57%;1.16%;988586.348148043;1001038.98775307
3/19/2010;0.41%;0.00%;992626.401032829;1001034.0957666
3/22/2010;0.82%;0.77%;1000751.0323669;1008727.59215352
3/23/2010;-0.21%;-0.02%;998690.560160438;1008521.57740779
3/24/2010;-0.68%;-0.48%;991899.656423479;1003689.72022834
3/25/2010;-0.47%;-0.69%;987252.211367056;996771.140134652
3/26/2010;0.40%;0.20%;991213.096099955;998774.47893057
3/29/2010;0.20%;0.46%;993182.831082862;1003392.48660056
3/30/2010;0.80%;0.63%;1001111.64508334;1009694.58923369
3/31/2010;0.39%;0.48%;1005023.68322022;1014563.17595175
4/1/2010;0.59%;0.65%;1010931.61063807;1021186.02083606
4/5/2010;0.14%;0.15%;1012300.1234063;1022706.82308914
4/6/2010;-0.88%;-0.65%;1003400.14279686;1016082.95996158
4/7/2010;-1.16%;-0.96%;991761.76132412;1006335.58572866
4/8/2010;1.77%;1.57%;1009354.86316981;1022145.8075731
4/9/2010;-0.22%;-0.32%;1007129.53222798;1018868.02211912
4/12/2010;-0.92%;-1.03%;997910.962062049;1008399.20995294
4/13/2010;0.95%;0.74%;1007388.79113158;1015869.97625863
4/14/2010;0.59%;0.56%;1013314.67521682;1021608.67305443
4/15/2010;-0.04%;-0.16%;1012929.63672208;1019923.09589511
4/16/2010;-1.36%;-1.40%;999177.215821191;1005618.08708188
4/19/2010;-0.17%;-0.02%;997515.225627296;1005433.88801575
4/20/2010;0.66%;0.59%;1004127.51100336;1011374.83392081
4/22/2010;0.99%;0.72%;1014064.19570281;1018654.93702242
4/23/2010;-0.21%;0.05%;1011926.10545198;1019161.77322593
4/26/2010;-0.85%;-0.94%;1003311.03368211;1009602.6366625
4/27/2010;-2.26%;-2.91%;980673.324577517;980200.691837097
4/28/2010;0.30%;0.18%;983587.334778812;981950.193328879
4/29/2010;1.47%;1.95%;998003.019399547;1001057.9370197
4/30/2010;-0.12%;-0.71%;996757.228318583;993994.7025621
5/3/2010;-0.07%;-1.03%;996095.686180344;983766.939204728
5/4/2010;-1.86%;-2.53%;977578.721571673;958890.514733023
5/5/2010;0.04%;0.33%;977950.527682464;962020.45974953
5/6/2010;-1.07%;-1.26%;967510.770466259;949891.443273629
5/7/2010;0.49%;0.25%;972247.183037575;952293.017570249
5/10/2010;2.09%;2.58%;992590.839404212;976848.729295742
5/11/2010;0.37%;-0.41%;996217.632058305;972883.838762295
5/12/2010;1.40%;0.94%;1010136.67332196;982017.878122075
5/13/2010;-0.04%;-0.40%;1009693.55359769;978073.379331147
5/14/2010;-1.66%;-1.62%;992949.965190132;962213.042753365
5/17/2010;1.67%;0.49%;1009484.46064874;966891.375912683
5/18/2010;-6.20%;-4.55%;946935.724593212;922877.51757163
5/19/2010;-2.72%;-2.63%;921191.003409901;898579.895221297
5/20/2010;-2.54%;-2.79%;897774.845526627;873491.370451771
5/21/2010;2.49%;3.24%;920171.280951131;901774.478932401
5/24/2010;-0.62%;-0.87%;914453.180235225;893901.605935243
5/25/2010;-1.52%;-1.18%;900555.197882652;883369.633478921
5/26/2010;-0.02%;0.22%;900348.574960243;885280.718234741
5/27/2010;2.85%;3.43%;925986.337214414;915629.422026318
5/28/2010;-0.19%;-0.10%;924193.743030134;914677.07926224
5/31/2010;1.43%;2.12%;937370.366868897;934100.603202534
6/1/2010;-0.60%;-1.03%;931743.172205576;924485.381067145
6/2/2010;1.20%;1.55%;942952.982453531;938843.114996993
6/4/2010;-0.72%;-1.64%;936134.620028552;923428.35902679
6/7/2010;1.06%;-0.09%;946034.314548335;922630.696252771
6/8/2010;0.28%;0.59%;948653.272798678;928079.091801684
6/9/2010;-0.51%;-0.37%;943801.783277564;924642.897107402
6/10/2010;2.28%;2.26%;965285.53222823;945521.95874772
6/11/2010;-0.14%;0.26%;963913.400146236;947997.481402846
6/14/2010;0.17%;-0.02%;965525.107970706;947772.520035596
6/15/2010;0.78%;1.05%;973091.541443141;957690.524672713
6/16/2010;0.86%;0.53%;981475.806779993;962778.810781985
6/17/2010;-0.10%;-0.40%;980461.762552634;958918.487324928
6/18/2010;-0.07%;-0.26%;979752.917589456;956470.786534034
6/21/2010;-0.47%;0.50%;975149.60946378;961220.403780886
6/22/2010;-0.60%;-0.56%;969315.062281966;955866.896075067
6/23/2010;-0.46%;-0.02%;964879.296126415;955681.325366707
6/24/2010;-2.51%;-2.57%;940665.148705657;931134.669038769
6/25/2010;1.77%;1.53%;957308.071245053;945386.861560543
6/28/2010;-0.93%;-1.00%;948449.317465843;935943.254272373
6/29/2010;-1.85%;-2.73%;930885.153331904;910360.712233967
6/30/2010;-2.66%;-2.46%;906161.263197111;888004.994165516
